Timestamp,User,Action,Record Type Name,Record Type URL Stub,Record Identifier,View,Filters,Environment,Site URL Stub
24 Nov 2017 06:03:37 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record Type List,N/A,N/A,N/A,N/A,N/A,Tempo,N/A
24 Nov 2017 06:03:38 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record Type List,N/A,N/A,N/A,N/A,N/A,Tempo,N/A
24 Nov 2017 06:03:43 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record Type List,N/A,N/A,N/A,N/A,N/A,Tempo,N/A
24 Nov 2017 06:03:43 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record Type List,N/A,N/A,N/A,N/A,N/A,Tempo,N/A
24 Nov 2017 06:03:45 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record Type List,N/A,N/A,N/A,N/A,N/A,Tempo,N/A
24 Nov 2017 06:03:46 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record List,User,U1TzGg,N/A,N/A,"(active = ""1"")",Tempo,N/A
27 Nov 2017 05:43:20 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record Type List,N/A,N/A,N/A,N/A,N/A,Tempo,N/A
27 Nov 2017 05:43:20 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record Type List,N/A,N/A,N/A,N/A,N/A,Tempo,N/A
27 Nov 2017 10:56:42 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
27 Nov 2017 10:56:54 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record List,Project,oTYUaQ,N/A,N/A,N/A,Site,incident-detail
27 Nov 2017 10:56:58 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
27 Nov 2017 10:57:02 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record List,Project,oTYUaQ,N/A,N/A,N/A,Site,incident-detail
27 Nov 2017 10:58:37 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
27 Nov 2017 10:58:54 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record List,Project,oTYUaQ,N/A,N/A,N/A,Site,incident-detail
27 Nov 2017 10:58:59 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Record List,Incident,B_qSSQ,N/A,N/A,N/A,Site,incident-detail
