Timestamp,User,Action,Site,Page
27 Nov 2017 10:56:39 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Report,incident-detail,my-task-report
27 Nov 2017 10:56:42 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Record List,incident-detail,incident
27 Nov 2017 10:56:54 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Record List,incident-detail,project
27 Nov 2017 10:56:58 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Record List,incident-detail,incident
27 Nov 2017 10:57:01 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Record List,incident-detail,project
27 Nov 2017 10:57:48 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Report,incident-detail,incident-project-analytics
27 Nov 2017 10:57:54 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Action Start Form,incident-detail,Action
27 Nov 2017 10:58:37 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Record List,incident-detail,incident
27 Nov 2017 10:58:38 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Action Start Form,incident-detail,Action
27 Nov 2017 10:58:42 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,Submit Site Action Start Form,incident-detail,Action
27 Nov 2017 10:58:54 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Record List,incident-detail,project
27 Nov 2017 10:58:59 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Record List,incident-detail,incident
27 Nov 2017 10:59:39 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Report,incident-detail,my-task-report
27 Nov 2017 11:14:00 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Report,incident-detail,my-task-report
27 Nov 2017 11:14:41 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Report,incident-detail,my-task-report
27 Nov 2017 11:14:51 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Report,incident-detail,my-task-report
27 Nov 2017 11:16:40 GMT,_h-0000dfcc-1b5f-8000-9aee-01075c01075c_2,View Site Report,incident-detail,my-task-report
